"Label (Grouping)","Washington!!Estimate","Benton County, Washington!!Estimate","Chelan County, Washington!!Estimate","Clallam County, Washington!!Estimate","Clark County, Washington!!Estimate","Cowlitz County, Washington!!Estimate","Franklin County, Washington!!Estimate","Grant County, Washington!!Estimate","Grays Harbor County, Washington!!Estimate","Island County, Washington!!Estimate","King County, Washington!!Estimate","Kitsap County, Washington!!Estimate","Lewis County, Washington!!Estimate","Mason County, Washington!!Estimate","Pierce County, Washington!!Estimate","Skagit County, Washington!!Estimate","Snohomish County, Washington!!Estimate","Spokane County, Washington!!Estimate","Thurston County, Washington!!Estimate","Whatcom County, Washington!!Estimate","Yakima County, Washington!!Estimate"
"        Cape Verdean","123","","","","","","","","","","0","","","","0","","0","","","",""
"        Ethiopian","29,036","","","","","","","","","","24,625","","","","590","","3,477","","","",""
"        Ghanaian","1,815","","","","","","","","","","1,451","","","","0","","337","","","",""
"        Kenyan","7,031","","","","","","","","","","3,380","","","","2,225","","1,156","","","",""
"        Liberian","2,734","","","","","","","","","","1,111","","","","0","","0","","","",""
"        Nigerian","12,010","","","","","","","","","","4,587","","","","2,260","","3,255","","","",""
"        Senegalese","439","","","","","","","","","","215","","","","0","","0","","","",""
"        Sierra Leonean","178","","","","","","","","","","178","","","","0","","0","","","",""
"        Somali","11,776","","","","","","","","","","11,187","","","","173","","0","","","",""
"        South African","3,380","","","","","","","","","","608","","","","758","","1,261","","","",""
"        Sudanese","1,359","","","","","","","","","","1,226","","","","0","","0","","","",""
"        Ugandan","1,380","","","","","","","","","","590","","","","113","","677","","","",""
"        Zimbabwean","34","","","","","","","","","","34","","","","0","","0","","","",""
"        African","29,911","","","","","","","","","","12,778","","","","6,522","","1,721","","","",""
"        Other Subsaharan African","10,961","","","","","","","","","","6,741","","","","1,131","","908","","","",""
"    Swedish","186,410","","","","","","","","","","49,145","","","","26,054","","20,240","","","",""
"    Swiss","28,928","","","","","","","","","","8,911","","","","2,442","","2,612","","","",""
"    Turkish","9,574","","","","","","","","","","7,977","","","","465","","173","","","",""
"    Ukrainian","64,397","","","","","","","","","","22,972","","","","7,202","","11,134","","","",""
"    Welsh","60,045","","","","","","","","","","16,831","","","","4,681","","4,323","","","",""
"    West Indian (except Hispanic groups):","18,668","","","","","","","","","","6,200","","","","3,581","","2,940","","","",""
"        Bahamian","311","","","","","","","","","","0","","","","0","","110","","","",""
"        Barbadian","168","","","","","","","","","","0","","","","0","","150","","","",""
"        Belizean","246","","","","","","","","","","0","","","","193","","53","","","",""
"        Bermudan","282","","","","","","","","","","221","","","","0","","0","","","",""
"        British West Indian","463","","","","","","","","","","157","","","","0","","67","","","",""
"        Dutch West Indian","0","","","","","","","","","","0","","","","0","","0","","","",""
"        Haitian","2,521","","","","","","","","","","1,968","","","","327","","0","","","",""
"        Jamaican","11,078","","","","","","","","","","1,992","","","","2,441","","2,289","","","",""
"        Trinidadian and Tobagonian","1,160","","","","","","","","","","332","","","","351","","361","","","",""
"        U.S. Virgin Islander","60","","","","","","","","","","0","","","","0","","60","","","",""
"        West Indian","2,603","","","","","","","","","","1,660","","","","269","","0","","","",""
"        Other West Indian","56","","","","","","","","","","0","","","","0","","0","","","",""
"    Yugoslavian","8,821","","","","","","","","","","3,090","","","","377","","946","","","",""
"    Other groups","2,352,307","","","","","","","","","","840,961","","","","280,967","","253,031","","","",""
"    Unclassified or not reported","1,754,960","","","","","","","","","","426,398","","","","227,445","","190,468","","","",""
